====================================================================================================
COMPLETE PER-STEP TRAINING LOGS (every step, every component, NO averaging)
====================================================================================================

## DA3-7scenes rkdc1hr (WITH rel) — chess (100 steps)
step pair     couple        ctk maskdistil        rel    rel_rot   rel_tdir   rkd_sh_a   rkd_sh_d |    total   gnorm
--------------------------------------------------------------------------------------------------------------------
   1    1     0.0002          —     0.1580          —     0.0002     0.0000     0.0000     0.0000 |   0.1585   0.027
   2    6     0.0002          —     0.1749          —     0.0008     0.0002     0.0001     0.0001 |   0.1764   0.046
   3    3     0.0000          —     0.1588          —     0.0001     0.0001     0.0001     0.0000 |   0.1591   0.022
   4    7     0.0000          —     0.1663          —     0.0011     0.0000     0.0000     0.0000 |   0.1676   0.028
   5    4     0.0004          —     0.1684          —     0.0013     0.0001     0.0001     0.0000 |   0.1705   0.028
   6    8     0.0001          —     0.1603          —     0.0004     0.0000     0.0001     0.0001 |   0.1611   0.022
   7    2     0.0000          —     0.1559          —     0.0002     0.0000     0.0001     0.0001 |   0.1564   0.020
   8    0     0.0000          —     0.1581          —     0.0003     0.0005     0.0004     0.0000 |   0.1595   0.024
   9    9     0.0001          —     0.1680          —     0.0003     0.0001     0.0001     0.0001 |   0.1686   0.038
  10    5     0.0002          —     0.1600          —     0.0004     0.0001     0.0001     0.0001 |   0.1610   0.030
  11    4     0.0001          —     0.1732          —     0.0010     0.0002     0.0003     0.0002 |   0.1753   0.049
  12    0     0.0001          —     0.1687          —     0.0003     0.0001     0.0001     0.0000 |   0.1693   0.066
  13    6     0.0003          —     0.1705          —     0.0007     0.0001     0.0000     0.0000 |   0.1717   0.038
  14    2     0.0000          —     0.1575          —     0.0002     0.0001     0.0001     0.0000 |   0.1579   0.028
  15    7     0.0001          —     0.1603          —     0.0003     0.0001     0.0000     0.0000 |   0.1608   0.031
  16    3     0.0000          —     0.1625          —     0.0001     0.0001     0.0000     0.0000 |   0.1627   0.029
  17    9     0.0002          —     0.1573          —     0.0002     0.0000     0.0000     0.0000 |   0.1578   0.025
  18    8     0.0000          —     0.1698          —     0.0007     0.0001     0.0001     0.0000 |   0.1707   0.039
  19    5     0.0000          —     0.1584          —     0.0004     0.0001     0.0001     0.0000 |   0.1591   0.028
  20    1     0.0003          —     0.1522          —     0.0001     0.0000     0.0000     0.0000 |   0.1526   0.027
  21    8     0.0000          —     0.1524          —     0.0001     0.0000     0.0000     0.0000 |   0.1527   0.024
  22    6     0.0001          —     0.1620          —     0.0009     0.0000     0.0000     0.0000 |   0.1631   0.031
  23    2     0.0001          —     0.1566          —     0.0002     0.0000     0.0000     0.0000 |   0.1571   0.031
  24    0     0.0000          —     0.1563          —     0.0003     0.0008     0.0005     0.0000 |   0.1581   0.035
  25    5     0.0001          —     0.1566          —     0.0007     0.0001     0.0001     0.0000 |   0.1578   0.028
  26    4     0.0001          —     0.1585          —     0.0003     0.0001     0.0000     0.0000 |   0.1590   0.032
  27    3     0.0002          —     0.1422          —     0.0003     0.0003     0.0003     0.0000 |   0.1434   0.026
  28    7     0.0000          —     0.1495          —     0.0008     0.0002     0.0002     0.0001 |   0.1509   0.030
  29    1     0.0005          —     0.1519          —     0.0001     0.0000     0.0000     0.0000 |   0.1526   0.048
