cam_pair,cond,dataset,frames,input,rot_chordal,rot_geodesic_deg,scene,state,t_rel_norm_student,t_rel_norm_teacher,tdir_1mc,tdir_angle_deg,view0_depth_finite_frac,view0_det,view0_orth_err,view1_depth_finite_frac,view1_det,view1_orth_err,view2_depth_finite_frac,view2_det,view2_orth_err,view3_depth_finite_frac,view3_det,view3_orth_err
01,clean,7scenes,31+114+281+198+531+364+781+448,probe0,0.0025002877227962017,2.026033639907837,office,theta0,0.46081897616386414,0.5828046202659607,0.368196964263916,35.323402404785156,1.0,1.0,2.061981141388003e-11,,,,,,,,,
02,clean,7scenes,31+114+281+198+531+364+781+448,probe0,0.00014629618090111762,0.489389568567276,office,theta0,0.4755411744117737,0.49935969710350037,2.6404857635498047e-05,0.2947505712509155,,,,1.0,0.9999999403953552,1.276595611443554e-07,,,,,,
03,clean,7scenes,31+114+281+198+531+364+781+448,probe0,9.847226465353742e-06,0.1251145452260971,office,theta0,0.8557814359664917,0.8964656591415405,8.52346420288086e-06,0.1678587943315506,,,,,,,1.0,1.0,2.0397591171672502e-08,,,
12,clean,7scenes,31+114+281+198+531+364+781+448,probe0,0.0033603173214942217,2.3488543033599854,office,theta0,0.11021123081445694,0.523118793964386,0.43187493085861206,38.365943908691406,,,,,,,,,,1.0,1.0000001192092896,2.2329660964715004e-07
13,clean,7scenes,31+114+281+198+531+364+781+448,probe0,0.0026334617286920547,2.079237222671509,office,theta0,0.514119565486908,0.4341537356376648,0.4127679467201233,37.47526550292969,,,,,,,,,,,,
23,clean,7scenes,31+114+281+198+531+364+781+448,probe0,0.0001609256723895669,0.5135811567306519,office,theta0,0.5269203782081604,0.5563672780990601,1.0132789611816406e-05,0.18238426744937897,,,,,,,,,,,,
01,m0,7scenes,31+114+281+198+531+364+781+448,probe0,0.759482741355896,35.89143371582031,office,theta0,0.18444260954856873,0.5828046202659607,1.3177558183670044,70.05474853515625,1.0,1.0,8.429370268459024e-08,,,,,,,,,
02,m0,7scenes,31+114+281+198+531+364+781+448,probe0,0.004201173782348633,2.6261448860168457,office,theta0,0.42199257016181946,0.49935969710350037,0.0005471110343933105,1.3402750492095947,,,,1.0,1.0000001192092896,2.775186089820636e-07,,,,,,
03,m0,7scenes,31+114+281+198+531+364+781+448,probe0,0.0009466385236009955,1.2464690208435059,office,theta0,0.7627882361412048,0.8964656591415405,7.766485214233398e-05,0.5051296949386597,,,,,,,1.0,0.9999999403953552,1.642584521732715e-07,,,
12,m0,7scenes,31+114+281+198+531+364+781+448,probe0,0.6573559641838074,33.31528091430664,office,theta0,0.45017120242118835,0.523118793964386,1.4033715724945068,72.64362335205078,,,,,,,,,,1.0,1.0,9.720169202864781e-08
13,m0,7scenes,31+114+281+198+531+364+781+448,probe0,0.7198865413665771,34.91236114501953,office,theta0,0.8300788998603821,0.4341537356376648,0.6975887417793274,49.367431640625,,,,,,,,,,,,
23,m0,7scenes,31+114+281+198+531+364+781+448,probe0,0.0023936782963573933,1.982285499572754,office,theta0,0.47733309864997864,0.5563672780990601,0.00048595666885375977,1.263000726699829,,,,,,,,,,,,
01,m1,7scenes,31+114+281+198+531+364+781+448,probe0,0.00810261256992817,3.6474409103393555,office,theta0,0.5023349523544312,0.5828046202659607,0.026325702667236328,9.306581497192383,1.0,1.0,4.4154282552270885e-13,,,,,,,,,
02,m1,7scenes,31+114+281+198+531+364+781+448,probe0,0.0008738489123061299,1.1974663734436035,office,theta0,0.46573832631111145,0.49935969710350037,0.00029158592224121094,0.9783881306648254,,,,1.0,1.0,1.475522424243536e-07,,,,,,
03,m1,7scenes,31+114+281+198+531+364+781+448,probe0,0.0004537910863291472,0.8632075786590576,office,theta0,0.8392812609672546,0.8964656591415405,7.748603820800781e-07,0.04845663905143738,,,,,,,1.0,1.0,8.559402431274066e-08,,,
12,m1,7scenes,31+114+281+198+531+364+781+448,probe0,0.013619042001664639,4.7294464111328125,office,theta0,0.35578465461730957,0.523118793964386,0.006593048572540283,4.653537273406982,,,,,,,,,,1.0,1.0000001192092896,1.485888247998446e-07
13,m1,7scenes,31+114+281+198+531+364+781+448,probe0,0.005466077476739883,2.9956517219543457,office,theta0,0.36318448185920715,0.4341537356376648,0.031617820262908936,10.201471328735352,,,,,,,,,,,,
23,m1,7scenes,31+114+281+198+531+364+781+448,probe0,0.0021756733767688274,1.8898946046829224,office,theta0,0.5119944214820862,0.5563672780990601,4.64320182800293e-05,0.39067068696022034,,,,,,,,,,,,
01,m2,7scenes,31+114+281+198+531+364+781+448,probe0,3.985304117202759,89.78951263427734,office,theta0,0.5681816935539246,0.5828046202659607,0.05561995506286621,13.544082641601562,1.0,0.9999999403953552,8.429369557916289e-08,,,,,,,,,
02,m2,7scenes,31+114+281+198+531+364+781+448,probe0,0.0023989183828234673,1.9844564199447632,office,theta0,0.4353051483631134,0.49935969710350037,0.00016576051712036133,0.7375442385673523,,,,1.0,0.9999997019767761,3.144517677355907e-07,,,,,,
03,m2,7scenes,31+114+281+198+531+364+781+448,probe0,8.341277134604752e-05,0.370094358921051,office,theta0,0.7924413084983826,0.8964656591415405,1.5974044799804688e-05,0.22899730503559113,,,,,,,1.0,1.0000001192092896,1.0547551454465065e-07,,,
12,m2,7scenes,31+114+281+198+531+364+781+448,probe0,4.1149749755859375,91.64713287353516,office,theta0,0.35348305106163025,0.523118793964386,1.2678272724151611,68.52555084228516,,,,,,,,,,1.0,1.0,1.3118393837885378e-07
13,m2,7scenes,31+114+281+198+531+364+781+448,probe0,4.0014801025390625,90.02120971679688,office,theta0,0.24982388317584991,0.4341537356376648,0.6312800049781799,46.81470489501953,,,,,,,,,,,,
23,m2,7scenes,31+114+281+198+531+364+781+448,probe0,0.0019083644729107618,1.7698988914489746,office,theta0,0.4939035177230835,0.5563672780990601,0.00012826919555664062,0.6489124894142151,,,,,,,,,,,,
01,m3,7scenes,31+114+281+198+531+364+781+448,probe0,0.03393750637769699,7.468921184539795,office,theta0,0.5036872029304504,0.5828046202659607,0.019638538360595703,8.03587532043457,1.0,1.0,4.949006482402041e-12,,,,,,,,,
02,m3,7scenes,31+114+281+198+531+364+781+448,probe0,0.002671780763193965,2.0940566062927246,office,theta0,0.4615287482738495,0.49935969710350037,0.0023322105407714844,2.767251968383789,,,,1.0,0.9999997019767761,3.8922311773603724e-07,,,,,,
03,m3,7scenes,31+114+281+198+531+364+781+448,probe0,0.0005428596050478518,0.9437755942344666,office,theta0,0.8213897347450256,0.8964656591415405,5.608797073364258e-05,0.4288719594478607,,,,,,,1.0,1.0,1.8213397368072037e-07,,,
12,m3,7scenes,31+114+281+198+531+364+781+448,probe0,0.05024198442697525,9.090725898742676,office,theta0,0.3669344186782837,0.523118793964386,0.02086055278778076,8.282544136047363,,,,,,,,,,1.0,1.0,1.8007455082624801e-07
13,m3,7scenes,31+114+281+198+531+364+781+448,probe0,0.042527712881565094,8.362408638000488,office,theta0,0.3503623902797699,0.4341537356376648,0.013371825218200684,6.629186630249023,,,,,,,,,,,,
23,m3,7scenes,31+114+281+198+531+364+781+448,probe0,0.001838158117607236,1.7368614673614502,office,theta0,0.49792608618736267,0.5563672780990601,0.00047272443771362305,1.2458409070968628,,,,,,,,,,,,
01,clean,7scenes,25+108+275+192+525+358+775+442,probe1,0.009999875910580158,4.052217483520508,office,theta0,0.5458297729492188,0.6542685627937317,0.07178115844726562,15.396976470947266,1.0,1.0,7.528625617890528e-13,,,,,,,,,
02,clean,7scenes,25+108+275+192+525+358+775+442,probe1,0.000901508959941566,1.2165966033935547,office,theta0,0.4356333911418915,0.46611151099205017,1.1324882507324219e-05,0.19281451404094696,,,,1.0,1.0000001192092896,2.562496206337528e-07,,,,,,
03,clean,7scenes,25+108+275+192+525+358+775+442,probe1,0.00022335305402521044,0.6052260398864746,office,theta0,0.8244947195053101,0.8960312604904175,0.00011432170867919922,0.6126170754432678,,,,,,,1.0,1.0000001192092896,8.757687197658015e-08,,,
12,clean,7scenes,25+108+275+192+525+358+775+442,probe1,0.015778733417391777,5.090775489807129,office,theta0,0.2985098659992218,0.5364242792129517,0.048211753368377686,12.605952262878418,,,,,,,,,,1.0,0.9999999403953552,8.385541150346398e-08
13,clean,7scenes,25+108+275+192+525+358+775+442,probe1,0.01238368172198534,4.509628772735596,office,theta0,0.29326897859573364,0.38629981875419617,0.16024303436279297,23.091676712036133,,,,,,,,,,,,
23,clean,7scenes,25+108+275+192+525+358+775+442,probe1,0.0002853977493941784,0.6841413974761963,office,theta0,0.5071836113929749,0.558761477470398,0.00012302398681640625,0.6355061531066895,,,,,,,,,,,,
