cond,couple,dataset,frames,input,maskdistill,rel_rot,rel_tdir,rkd_sh_a,rkd_sh_d,scene,state
clean,0.005480649881064892,7scenes,31+114+281+198+531+364+781+448,probe0,0.04079622030258179,0.0014685227070003748,0.2021474838256836,0.03172861039638519,0.03186865895986557,office,theta0
m0,0.00444527855142951,7scenes,31+114+281+198+531+364+781+448,probe0,0.270358681678772,0.357377827167511,0.5699711441993713,0.0830489844083786,0.044058941304683685,office,theta0
m1,0.0035613663494586945,7scenes,31+114+281+198+531+364+781+448,probe0,0.2030215561389923,0.005115174688398838,0.01081256102770567,0.014093085192143917,0.0049991183914244175,office,theta0
m2,0.003332768799737096,7scenes,31+114+281+198+531+364+781+448,probe0,0.2409508228302002,2.0176916122436523,0.3258395195007324,0.024931645020842552,0.010604804381728172,office,theta0
m3,0.008140988647937775,7scenes,31+114+281+198+531+364+781+448,probe0,0.2295839488506317,0.021960003301501274,0.009455323219299316,0.011318746954202652,0.0037901699542999268,office,theta0
clean,0.00978897325694561,7scenes,25+108+275+192+525+358+775+442,probe1,0.059260472655296326,0.006595425307750702,0.04674743860960007,0.030961250886321068,0.010853080078959465,office,theta0
m0,0.0008117551915347576,7scenes,25+108+275+192+525+358+775+442,probe1,0.22002005577087402,0.03235087916254997,0.029857289046049118,0.0067915706895291805,0.007661893963813782,office,theta0
m1,0.004385023377835751,7scenes,25+108+275+192+525+358+775+442,probe1,0.23683083057403564,0.009502256289124489,0.02088034152984619,0.017220769077539444,0.01662639155983925,office,theta0
m2,0.007002856582403183,7scenes,25+108+275+192+525+358+775+442,probe1,0.22150559723377228,0.013463105075061321,0.020227830857038498,0.02293461561203003,0.00777843501418829,office,theta0
m3,0.010750620625913143,7scenes,25+108+275+192+525+358+775+442,probe1,0.21689534187316895,0.002187590580433607,0.0559874102473259,0.029826104640960693,0.02068394608795643,office,theta0
clean,0.0047734868712723255,7scenes,68+151+318+235+568+401+818+485,pair5,0.031182002276182175,0.003665368538349867,0.0027135512791574,0.0072181858122348785,0.00395598541945219,office,theta0
m0,0.0037388941273093224,7scenes,68+151+318+235+568+401+818+485,pair5,0.2234686315059662,0.02681443654000759,0.023341935127973557,0.022534793242812157,0.008534889668226242,office,theta0
m1,0.006624539848417044,7scenes,68+151+318+235+568+401+818+485,pair5,0.25908851623535156,0.03930497169494629,0.0635862648487091,0.025185123085975647,0.020264044404029846,office,theta0
m2,0.01334583479911089,7scenes,68+151+318+235+568+401+818+485,pair5,0.2322697788476944,0.666051983833313,0.2920044958591461,0.05297498032450676,0.06967571377754211,office,theta0
m3,0.004541849251836538,7scenes,68+151+318+235+568+401+818+485,pair5,0.24482277035713196,0.02091704122722149,0.02412988804280758,0.023028358817100525,0.007515215780586004,office,theta0
clean,0.0019385735504329205,7scenes,80+163+330+246+580+413+830+496,pair8,0.020919805392622948,0.004740740172564983,0.002337356563657522,0.0008905449649319053,0.0005207005888223648,office,theta0
m0,9.14047850528732e-05,7scenes,80+163+330+246+580+413+830+496,pair8,0.2223474085330963,0.00932963564991951,0.007836401462554932,0.00785490870475769,0.0010304078459739685,office,theta0
m1,0.0014532050117850304,7scenes,80+163+330+246+580+413+830+496,pair8,0.2087426483631134,0.017627451568841934,0.007310807704925537,0.011789992451667786,0.0023326724767684937,office,theta0
m2,3.7976704447828524e-07,7scenes,80+163+330+246+580+413+830+496,pair8,0.2152361422777176,0.014274421148002148,0.030913304537534714,0.0226210318505764,0.006010373588651419,office,theta0
m3,0.00227366853505373,7scenes,80+163+330+246+580+413+830+496,pair8,0.19753196835517883,0.0028657647781074047,0.007072329521179199,0.003322988748550415,0.0007630115724168718,office,theta0
clean,0.5826313495635986,7scenes,28+111+278+195+528+361+778+445,pair9,0.10042646527290344,2.0273027420043945,0.845026433467865,0.12325835227966309,0.09342415630817413,office,theta0
m0,0.003212746698409319,7scenes,28+111+278+195+528+361+778+445,pair9,0.23890753090381622,0.04203818365931511,0.30608224868774414,0.04419781267642975,0.02285333350300789,office,theta0
m1,0.011762978509068489,7scenes,28+111+278+195+528+361+778+445,pair9,0.24705684185028076,0.003542868886142969,0.06767420470714569,0.03333534300327301,0.025250595062971115,office,theta0
m2,0.00446049589663744,7scenes,28+111+278+195+528+361+778+445,pair9,0.2662319540977478,2.127990484237671,0.2796218693256378,0.010441187769174576,0.004405639134347439,office,theta0
m3,0.005060050170868635,7scenes,28+111+278+195+528+361+778+445,pair9,0.23521415889263153,0.010049339383840561,0.12808898091316223,0.03573834151029587,0.019243426620960236,office,theta0
clean,0.005755584221333265,7scenes,31+114+281+198+531+364+781+448,probe0,0.03657449781894684,0.0011266273213550448,0.1435549557209015,0.03013448789715767,0.026841487735509872,office,theta_base
m0,0.006930421106517315,7scenes,31+114+281+198+531+364+781+448,probe0,0.24026523530483246,0.005558749660849571,0.1939733922481537,0.05123618245124817,0.03776431456208229,office,theta_base
m1,0.0018270071595907211,7scenes,31+114+281+198+531+364+781+448,probe0,0.19614388048648834,0.004636124242097139,0.005293339490890503,0.0084723811596632,0.002728802617639303,office,theta_base
m2,0.0009701914968900383,7scenes,31+114+281+198+531+364+781+448,probe0,0.22723732888698578,1.99821937084198,0.34192246198654175,0.012087047100067139,0.006353491451591253,office,theta_base
m3,0.005378196015954018,7scenes,31+114+281+198+531+364+781+448,probe0,0.2151198834180832,0.013240749016404152,0.0062524182721972466,0.008421123959124088,0.002665352076292038,office,theta_base
clean,0.006040526088327169,7scenes,25+108+275+192+525+358+775+442,probe1,0.04027559608221054,0.00569330295547843,0.04754271358251572,0.032326072454452515,0.010005238465964794,office,theta_base
m0,0.0014607219491153955,7scenes,25+108+275+192+525+358+775+442,probe1,0.1954013854265213,0.01922016777098179,0.019984673708677292,0.008678074926137924,0.008564312942326069,office,theta_base
m1,0.004915849771350622,7scenes,25+108+275+192+525+358+775+442,probe1,0.19519716501235962,0.007868592627346516,0.02977047488093376,0.02481873892247677,0.008912522345781326,office,theta_base
m2,0.0036171867977827787,7scenes,25+108+275+192+525+358+775+442,probe1,0.20802894234657288,0.008954014629125595,0.012553672306239605,0.016544345766305923,0.005418363958597183,office,theta_base
m3,0.008051317185163498,7scenes,25+108+275+192+525+358+775+442,probe1,0.20404034852981567,0.0007774229161441326,0.048458032310009,0.027612891048192978,0.013951180502772331,office,theta_base
clean,0.004390929825603962,7scenes,68+151+318+235+568+401+818+485,pair5,0.02824557200074196,0.004175705369561911,0.002567549701780081,0.006099435966461897,0.003950911574065685,office,theta_base
m0,0.005270207300782204,7scenes,68+151+318+235+568+401+818+485,pair5,0.21208614110946655,0.03869490325450897,0.023485779762268066,0.023374103009700775,0.011083809658885002,office,theta_base
m1,0.008313383907079697,7scenes,68+151+318+235+568+401+818+485,pair5,0.23437762260437012,0.02208234928548336,0.017757505178451538,0.02075738087296486,0.017238980159163475,office,theta_base
m2,0.00997015368193388,7scenes,68+151+318+235+568+401+818+485,pair5,0.2261589765548706,0.8859445452690125,0.39375579357147217,0.04804420471191406,0.07260449230670929,office,theta_base
m3,0.005060466006398201,7scenes,68+151+318+235+568+401+818+485,pair5,0.22516775131225586,0.025809329003095627,0.019618820399045944,0.021837076172232628,0.00776283722370863,office,theta_base
clean,0.0015690346481278539,7scenes,80+163+330+246+580+413+830+496,pair8,0.020160874351859093,0.004429296590387821,0.0016501843929290771,0.00021442442084662616,0.0004582148394547403,office,theta_base
m0,0.00043466544593684375,7scenes,80+163+330+246+580+413+830+496,pair8,0.20523014664649963,0.01048057060688734,0.00417924951761961,0.0013012697454541922,0.0009351346525363624,office,theta_base
m1,0.001234989846125245,7scenes,80+163+330+246+580+413+830+496,pair8,0.1966751515865326,0.014496615156531334,0.002129495143890381,0.0040692551992833614,0.001736759557388723,office,theta_base
m2,0.00012368270836304873,7scenes,80+163+330+246+580+413+830+496,pair8,0.2046869844198227,0.012912257574498653,0.026706993579864502,0.018966320902109146,0.005386171862483025,office,theta_base
m3,0.0022310393396764994,7scenes,80+163+330+246+580+413+830+496,pair8,0.18576601147651672,0.0026973809581249952,0.004383157007396221,0.004903289955109358,0.0007179555250331759,office,theta_base
clean,0.001897553913295269,7scenes,28+111+278+195+528+361+778+445,pair9,0.0928158313035965,0.003693824401125312,0.33149194717407227,0.0695643201470375,0.045371975749731064,office,theta_base
m0,0.007296242285519838,7scenes,28+111+278+195+528+361+778+445,pair9,0.2237105518579483,0.01363406889140606,0.13990715146064758,0.03077579103410244,0.024904906749725342,office,theta_base
m1,0.007789153140038252,7scenes,28+111+278+195+528+361+778+445,pair9,0.20971328020095825,0.006250828504562378,0.0470159575343132,0.03093983232975006,0.013882595114409924,office,theta_base
m2,0.006501043681055307,7scenes,28+111+278+195+528+361+778+445,pair9,0.24961456656455994,0.004011844750493765,0.10126611590385437,0.03501191735267639,0.013774010352790356,office,theta_base
m3,0.004383476451039314,7scenes,28+111+278+195+528+361+778+445,pair9,0.2236676663160324,0.005844740197062492,0.12675349414348602,0.03146504610776901,0.017050039023160934,office,theta_base
clean,0.006109412293881178,7scenes,31+114+281+198+531+364+781+448,probe0,0.0371822714805603,0.0005319224437698722,0.13855333626270294,0.030373133718967438,0.027395982295274734,office,theta_rel
m0,0.005391387268900871,7scenes,31+114+281+198+531+364+781+448,probe0,0.24668455123901367,0.0027334082406014204,0.21551111340522766,0.057095520198345184,0.0397418849170208,office,theta_rel
m1,0.0016989418072625995,7scenes,31+114+281+198+531+364+781+448,probe0,0.19783779978752136,0.0028636353090405464,0.0046274662017822266,0.007440795190632343,0.002262063790112734,office,theta_rel
m2,0.001169306575320661,7scenes,31+114+281+198+531+364+781+448,probe0,0.22850097715854645,1.979941725730896,0.3385689854621887,0.013760020956397057,0.006937067024409771,office,theta_rel
m3,0.0054784794338047504,7scenes,31+114+281+198+531+364+781+448,probe0,0.21976305544376373,0.012232992798089981,0.006456067319959402,0.007783250417560339,0.00241553271189332,office,theta_rel
clean,0.00614855345338583,7scenes,25+108+275+192+525+358+775+442,probe1,0.0439896434545517,0.004393136594444513,0.046989403665065765,0.032630447298288345,0.010117396712303162,office,theta_rel
m0,0.001059349742718041,7scenes,25+108+275+192+525+358+775+442,probe1,0.19959376752376556,0.015954652801156044,0.01999705098569393,0.006850031204521656,0.008025378920137882,office,theta_rel
m1,0.004870586562901735,7scenes,25+108+275+192+525+358+775+442,probe1,0.1997447907924652,0.0058967350050807,0.020026206970214844,0.019270673394203186,0.00746547244489193,office,theta_rel
m2,0.0037721265107393265,7scenes,25+108+275+192+525+358+775+442,probe1,0.21135233342647552,0.006928264629095793,0.01138255000114441,0.01507751177996397,0.004914834164083004,office,theta_rel
m3,0.008172210305929184,7scenes,25+108+275+192+525+358+775+442,probe1,0.2082691788673401,0.0003578652103897184,0.04088971018791199,0.02504987269639969,0.013265736401081085,office,theta_rel
clean,0.004750543739646673,7scenes,68+151+318+235+568+401+818+485,pair5,0.028409842401742935,0.0025529710110276937,0.0025267801247537136,0.0057259416207671165,0.0038141258992254734,office,theta_rel
m0,0.0037811738438904285,7scenes,68+151+318+235+568+401+818+485,pair5,0.21111665666103363,0.02276635728776455,0.018711071461439133,0.018878791481256485,0.007937101647257805,office,theta_rel
m1,0.007705066353082657,7scenes,68+151+318+235+568+401+818+485,pair5,0.23545297980308533,0.02340509556233883,0.019456148147583008,0.019489876925945282,0.013323563151061535,office,theta_rel
m2,0.01751968450844288,7scenes,68+151+318+235+568+401+818+485,pair5,0.2205185741186142,0.4343608319759369,0.11666952818632126,0.056263070553541183,0.07109744846820831,office,theta_rel
m3,0.004851320758461952,7scenes,68+151+318+235+568+401+818+485,pair5,0.22719070315361023,0.017885325476527214,0.015547524206340313,0.01775391958653927,0.006710789166390896,office,theta_rel
clean,0.0015716847265139222,7scenes,80+163+330+246+580+413+830+496,pair8,0.020294204354286194,0.0029487498104572296,0.0011539559345692396,0.0001859727199189365,0.00040289093158207834,office,theta_rel
m0,0.0003587180108297616,7scenes,80+163+330+246+580+413+830+496,pair8,0.2079908549785614,0.007375581189990044,0.0031805336475372314,0.0010905421804636717,0.0009016398689709604,office,theta_rel
m1,0.0015225837705656886,7scenes,80+163+330+246+580+413+830+496,pair8,0.19887839257717133,0.012318357825279236,0.0021985075436532497,0.002750486135482788,0.0017854950856417418,office,theta_rel
m2,1.0161153340959572e-07,7scenes,80+163+330+246+580+413+830+496,pair8,0.206374391913414,0.010115213692188263,0.019434839487075806,0.014605390839278698,0.004800751339644194,office,theta_rel
m3,0.0023086294531822205,7scenes,80+163+330+246+580+413+830+496,pair8,0.1875419318675995,0.0017674248665571213,0.0038755040150135756,0.005091923289000988,0.0007162358378991485,office,theta_rel
clean,0.42751190066337585,7scenes,28+111+278+195+528+361+778+445,pair9,0.11287377774715424,1.8838313817977905,0.8425887823104858,0.12260647118091583,0.08557780832052231,office,theta_rel
m0,0.007860691286623478,7scenes,28+111+278+195+528+361+778+445,pair9,0.22503553330898285,0.011939226649701595,0.12391239404678345,0.03139244765043259,0.024557434022426605,office,theta_rel
m1,0.007818281650543213,7scenes,28+111+278+195+528+361+778+445,pair9,0.21409104764461517,0.00507322559133172,0.03758542984724045,0.028087638318538666,0.012832964770495892,office,theta_rel
m2,0.004167131148278713,7scenes,28+111+278+195+528+361+778+445,pair9,0.25748521089553833,2.4161553382873535,0.3268883228302002,0.01185748353600502,0.004574114456772804,office,theta_rel
m3,0.004809365142136812,7scenes,28+111+278+195+528+361+778+445,pair9,0.2211456000804901,0.0031893448904156685,0.10963335633277893,0.029438450932502747,0.01757054775953293,office,theta_rel
clean,0.0008431819151155651,7scenes,13+97+263+180+513+347+763+430,probe0,0.00826063472777605,1.772321411408484e-05,4.4802827687817626e-06,3.2506311526958598e-06,3.7719673855463043e-06,chess,theta0
m0,1.6778447388787754e-05,7scenes,13+97+263+180+513+347+763+430,probe0,0.16067568957805634,0.0002880283573176712,3.878275674651377e-05,4.5728575059911236e-05,3.7826459447387606e-05,chess,theta0
m1,9.30418391362764e-05,7scenes,13+97+263+180+513+347+763+430,probe0,0.1570073664188385,0.00040441605960950255,7.668137550354004e-05,1.3811978533340152e-05,3.412624937482178e-05,chess,theta0
m2,0.0002800907241180539,7scenes,13+97+263+180+513+347+763+430,probe0,0.16195353865623474,0.0006173098227009177,0.00012628237891476601,0.00013171180034987628,5.0484290113672614e-05,chess,theta0
m3,1.1447382348706014e-05,7scenes,13+97+263+180+513+347+763+430,probe0,0.15996263921260834,0.00018706213450059295,0.00012026230979245156,0.00012777003576047719,0.0001104294351534918,chess,theta0
clean,0.0004230726044625044,7scenes,46+129+296+213+546+379+796+463,probe1,0.007720625028014183,3.78603144781664e-05,2.2937854737392627e-05,1.019350179376488e-06,2.7977151262348343e-07,chess,theta0
m0,6.433256930904463e-05,7scenes,46+129+296+213+546+379+796+463,probe1,0.16235870122909546,0.0007607650477439165,0.00022237500525079668,4.630121838999912e-05,4.253171937307343e-05,chess,theta0
m1,3.549394250512705e-06,7scenes,46+129+296+213+546+379+796+463,probe1,0.1678312122821808,0.0003022537275683135,0.0001025696619763039,1.1057250048907008e-05,5.8151672419626266e-06,chess,theta0
m2,8.454747876385227e-05,7scenes,46+129+296+213+546+379+796+463,probe1,0.15727245807647705,0.00016653447528369725,4.5677028538193554e-05,7.091320003382862e-05,1.7757722162059508e-05,chess,theta0
m3,6.908912473591045e-05,7scenes,46+129+296+213+546+379+796+463,probe1,0.16161580383777618,0.00015355367213487625,7.818143058102578e-05,3.3474552765255794e-05,1.712191260594409e-05,chess,theta0
clean,0.0012665755348280072,7scenes,17+100+267+184+517+350+767+850,pair5,0.009145964868366718,7.166173600126058e-05,5.8819852711167186e-05,5.206442074268125e-05,1.5372106645372696e-05,chess,theta0
m0,0.0002475649234838784,7scenes,17+100+267+184+517+350+767+850,pair5,0.15667787194252014,0.0003451185766607523,7.039308547973633e-05,5.034912464907393e-05,1.9865859940182418e-05,chess,theta0
m1,6.173939618747681e-05,7scenes,17+100+267+184+517+350+767+850,pair5,0.1566082239151001,0.0002642826293595135,4.767378413816914e-05,9.83578593150014e-06,1.62135147547815e-05,chess,theta0
m2,5.395983680500649e-05,7scenes,17+100+267+184+517+350+767+850,pair5,0.1580543965101242,0.0003252509341109544,0.000169614955666475,0.00024700642097741365,5.087135286885314e-05,chess,theta0
m3,5.564445746131241e-05,7scenes,17+100+267+184+517+350+767+850,pair5,0.17176945507526398,0.0004398236924316734,8.69731156853959e-05,0.00011191620433237404,1.4316106899059378e-05,chess,theta0
clean,0.00037929354584775865,7scenes,32+116+282+199+532+366+782+449,pair8,0.009265639819204807,0.0002983309095725417,3.612041473388672e-05,4.665361120714806e-05,8.417064236709848e-06,chess,theta0
m0,3.7611007428495213e-05,7scenes,32+116+282+199+532+366+782+449,pair8,0.16980986297130585,0.001254064030945301,3.0517578125e-05,2.5937288228305988e-05,5.156908628123347e-06,chess,theta0
m1,0.00032206764444708824,7scenes,32+116+282+199+532+366+782+449,pair8,0.16068683564662933,0.0012280873488634825,0.00011182825255673379,4.465793608687818e-05,1.068211713572964e-05,chess,theta0
m2,3.889905565301888e-05,7scenes,32+116+282+199+532+366+782+449,pair8,0.16435924172401428,0.0014865974662825465,5.0395727157592773e-05,1.8323240510653704e-05,1.0321187801309861e-05,chess,theta0
m3,2.067629247903824e-05,7scenes,32+116+282+199+532+366+782+449,pair8,0.16104041039943695,0.0009574751602485776,8.105238521238789e-05,7.878908218117431e-05,1.5422974684042856e-05,chess,theta0
clean,0.0007517149788327515,7scenes,19+102+269+186+519+352+769+436,pair9,0.008291516453027725,4.79697591799777e-05,4.460414402274182e-06,2.0707275325548835e-06,5.385105396271683e-06,chess,theta0
m0,3.3802087273215875e-05,7scenes,19+102+269+186+519+352+769+436,pair9,0.17076276242733002,0.00045462301932275295,0.00010017554450314492,6.789174221921712e-05,4.80211092508398e-05,chess,theta0
m1,9.857796248979867e-05,7scenes,19+102+269+186+519+352+769+436,pair9,0.15621036291122437,0.00013189116725698113,3.445148468017578e-05,9.233328455593437e-06,1.92681654880289e-05,chess,theta0
