cond,cosine,dataset,group,probe,scene,state,value
clean,"cos(g_maskdistill,g_rkd_sh_d)",7scenes,lora_early,probe0,office,theta0,0.7700307369232178
clean,"cos(g_maskdistill,g_rkd_sh_a)",7scenes,lora_early,probe0,office,theta0,0.6742218732833862
clean,"cos(g_maskdistill,g_couple)",7scenes,lora_early,probe0,office,theta0,-0.7066895961761475
clean,"cos(g_maskdistill,g_rel_rot)",7scenes,lora_early,probe0,office,theta0,0.3844457268714905
clean,"cos(g_maskdistill,g_rel_tdir)",7scenes,lora_early,probe0,office,theta0,0.7144520282745361
clean,"cos(g_rkd_sh_d,g_rkd_sh_a)",7scenes,lora_early,probe0,office,theta0,0.8865820169448853
clean,"cos(g_rkd_sh_d,g_couple)",7scenes,lora_early,probe0,office,theta0,-0.9138262867927551
clean,"cos(g_rkd_sh_d,g_rel_rot)",7scenes,lora_early,probe0,office,theta0,0.12154150009155273
clean,"cos(g_rkd_sh_d,g_rel_tdir)",7scenes,lora_early,probe0,office,theta0,0.9175999760627747
clean,"cos(g_rkd_sh_a,g_couple)",7scenes,lora_early,probe0,office,theta0,-0.6549605131149292
clean,"cos(g_rkd_sh_a,g_rel_rot)",7scenes,lora_early,probe0,office,theta0,0.15110677480697632
clean,"cos(g_rkd_sh_a,g_rel_tdir)",7scenes,lora_early,probe0,office,theta0,0.638654351234436
clean,"cos(g_couple,g_rel_rot)",7scenes,lora_early,probe0,office,theta0,-0.07512442022562027
clean,"cos(g_couple,g_rel_tdir)",7scenes,lora_early,probe0,office,theta0,-0.9777615070343018
clean,"cos(g_rel_rot,g_rel_tdir)",7scenes,lora_early,probe0,office,theta0,0.03230634331703186
clean,"cos(g_maskdistill,g_rkd_sh_d)",7scenes,lora_late,probe0,office,theta0,0.7956298589706421
clean,"cos(g_maskdistill,g_rkd_sh_a)",7scenes,lora_late,probe0,office,theta0,0.6374657154083252
clean,"cos(g_maskdistill,g_couple)",7scenes,lora_late,probe0,office,theta0,-0.6770457029342651
clean,"cos(g_maskdistill,g_rel_rot)",7scenes,lora_late,probe0,office,theta0,0.20570288598537445
clean,"cos(g_maskdistill,g_rel_tdir)",7scenes,lora_late,probe0,office,theta0,0.7743843793869019
clean,"cos(g_rkd_sh_d,g_rkd_sh_a)",7scenes,lora_late,probe0,office,theta0,0.8701165318489075
clean,"cos(g_rkd_sh_d,g_couple)",7scenes,lora_late,probe0,office,theta0,-0.7759872674942017
clean,"cos(g_rkd_sh_d,g_rel_rot)",7scenes,lora_late,probe0,office,theta0,0.09306924045085907
clean,"cos(g_rkd_sh_d,g_rel_tdir)",7scenes,lora_late,probe0,office,theta0,0.8661518096923828
clean,"cos(g_rkd_sh_a,g_couple)",7scenes,lora_late,probe0,office,theta0,-0.5221487283706665
clean,"cos(g_rkd_sh_a,g_rel_rot)",7scenes,lora_late,probe0,office,theta0,0.045157644897699356
clean,"cos(g_rkd_sh_a,g_rel_tdir)",7scenes,lora_late,probe0,office,theta0,0.5560071468353271
clean,"cos(g_couple,g_rel_rot)",7scenes,lora_late,probe0,office,theta0,-0.13490962982177734
clean,"cos(g_couple,g_rel_tdir)",7scenes,lora_late,probe0,office,theta0,-0.8598416447639465
clean,"cos(g_rel_rot,g_rel_tdir)",7scenes,lora_late,probe0,office,theta0,0.08901463449001312
clean,"cos(g_maskdistill,g_rkd_sh_d)",7scenes,cam_token,probe0,office,theta0,0.08651980012655258
clean,"cos(g_maskdistill,g_rkd_sh_a)",7scenes,cam_token,probe0,office,theta0,0.3424431383609772
clean,"cos(g_maskdistill,g_couple)",7scenes,cam_token,probe0,office,theta0,0.18314418196678162
clean,"cos(g_maskdistill,g_rel_rot)",7scenes,cam_token,probe0,office,theta0,0.555785596370697
clean,"cos(g_maskdistill,g_rel_tdir)",7scenes,cam_token,probe0,office,theta0,-0.1458805501461029
clean,"cos(g_rkd_sh_d,g_rkd_sh_a)",7scenes,cam_token,probe0,office,theta0,0.7891417145729065
clean,"cos(g_rkd_sh_d,g_couple)",7scenes,cam_token,probe0,office,theta0,-0.7613527178764343
clean,"cos(g_rkd_sh_d,g_rel_rot)",7scenes,cam_token,probe0,office,theta0,-0.15855643153190613
clean,"cos(g_rkd_sh_d,g_rel_tdir)",7scenes,cam_token,probe0,office,theta0,0.8896623253822327
clean,"cos(g_rkd_sh_a,g_couple)",7scenes,cam_token,probe0,office,theta0,-0.34382644295692444
clean,"cos(g_rkd_sh_a,g_rel_rot)",7scenes,cam_token,probe0,office,theta0,0.029376400634646416
clean,"cos(g_rkd_sh_a,g_rel_tdir)",7scenes,cam_token,probe0,office,theta0,0.45631134510040283
clean,"cos(g_couple,g_rel_rot)",7scenes,cam_token,probe0,office,theta0,0.2296866774559021
clean,"cos(g_couple,g_rel_tdir)",7scenes,cam_token,probe0,office,theta0,-0.867881178855896
clean,"cos(g_rel_rot,g_rel_tdir)",7scenes,cam_token,probe0,office,theta0,-0.30593496561050415
clean,"cos(g_maskdistill,g_rkd_sh_d)",7scenes,ALL,probe0,office,theta0,0.7712691426277161
clean,"cos(g_maskdistill,g_rkd_sh_a)",7scenes,ALL,probe0,office,theta0,0.663148045539856
clean,"cos(g_maskdistill,g_couple)",7scenes,ALL,probe0,office,theta0,-0.6932674050331116
clean,"cos(g_maskdistill,g_rel_rot)",7scenes,ALL,probe0,office,theta0,0.3449459373950958
clean,"cos(g_maskdistill,g_rel_tdir)",7scenes,ALL,probe0,office,theta0,0.720867931842804
clean,"cos(g_rkd_sh_d,g_rkd_sh_a)",7scenes,ALL,probe0,office,theta0,0.8813271522521973
clean,"cos(g_rkd_sh_d,g_couple)",7scenes,ALL,probe0,office,theta0,-0.8826780319213867
clean,"cos(g_rkd_sh_d,g_rel_rot)",7scenes,ALL,probe0,office,theta0,0.11364772170782089
clean,"cos(g_rkd_sh_d,g_rel_tdir)",7scenes,ALL,probe0,office,theta0,0.9068477749824524
clean,"cos(g_rkd_sh_a,g_couple)",7scenes,ALL,probe0,office,theta0,-0.6212812066078186
clean,"cos(g_rkd_sh_a,g_rel_rot)",7scenes,ALL,probe0,office,theta0,0.12588395178318024
clean,"cos(g_rkd_sh_a,g_rel_tdir)",7scenes,ALL,probe0,office,theta0,0.6179860830307007
clean,"cos(g_couple,g_rel_rot)",7scenes,ALL,probe0,office,theta0,-0.08527406305074692
clean,"cos(g_couple,g_rel_tdir)",7scenes,ALL,probe0,office,theta0,-0.9516624212265015
clean,"cos(g_rel_rot,g_rel_tdir)",7scenes,ALL,probe0,office,theta0,0.04105447977781296
clean,"cos(g_rel_rot,g_base)",7scenes,lora_early,probe0,office,theta0,0.2543005049228668
clean,"cos(g_rel_tdir,g_base)",7scenes,lora_early,probe0,office,theta0,0.7739766836166382
clean,"cos(g_rel_rot,g_base)",7scenes,lora_late,probe0,office,theta0,0.11483758687973022
clean,"cos(g_rel_tdir,g_base)",7scenes,lora_late,probe0,office,theta0,0.744560956954956
clean,"cos(g_rel_rot,g_base)",7scenes,cam_token,probe0,office,theta0,0.29913243651390076
clean,"cos(g_rel_tdir,g_base)",7scenes,cam_token,probe0,office,theta0,0.2863204777240753
clean,"cos(g_rel_rot,g_base)",7scenes,ALL,probe0,office,theta0,0.22283712029457092
clean,"cos(g_rel_tdir,g_base)",7scenes,ALL,probe0,office,theta0,0.7639251947402954
clean,loss[maskdistill],7scenes,-,probe0,office,theta0,0.04079622030258179
clean,loss[rkd_sh_d],7scenes,-,probe0,office,theta0,0.03186865895986557
clean,loss[rkd_sh_a],7scenes,-,probe0,office,theta0,0.03172861039638519
clean,loss[couple],7scenes,-,probe0,office,theta0,0.005480649881064892
clean,loss[rel_rot],7scenes,-,probe0,office,theta0,0.0014685227070003748
clean,loss[rel_tdir],7scenes,-,probe0,office,theta0,0.2021474838256836
m0,"cos(g_maskdistill,g_rkd_sh_d)",7scenes,lora_early,probe0,office,theta0,0.8731125593185425
m0,"cos(g_maskdistill,g_rkd_sh_a)",7scenes,lora_early,probe0,office,theta0,0.8988087177276611
m0,"cos(g_maskdistill,g_couple)",7scenes,lora_early,probe0,office,theta0,0.9009292125701904
m0,"cos(g_maskdistill,g_rel_rot)",7scenes,lora_early,probe0,office,theta0,0.9121876955032349
m0,"cos(g_maskdistill,g_rel_tdir)",7scenes,lora_early,probe0,office,theta0,0.915014386177063
m0,"cos(g_rkd_sh_d,g_rkd_sh_a)",7scenes,lora_early,probe0,office,theta0,0.9932166934013367
m0,"cos(g_rkd_sh_d,g_couple)",7scenes,lora_early,probe0,office,theta0,0.9909356832504272
m0,"cos(g_rkd_sh_d,g_rel_rot)",7scenes,lora_early,probe0,office,theta0,0.9839727878570557
m0,"cos(g_rkd_sh_d,g_rel_tdir)",7scenes,lora_early,probe0,office,theta0,0.9588750600814819
m0,"cos(g_rkd_sh_a,g_couple)",7scenes,lora_early,probe0,office,theta0,0.9987688064575195
m0,"cos(g_rkd_sh_a,g_rel_rot)",7scenes,lora_early,probe0,office,theta0,0.9900509715080261
m0,"cos(g_rkd_sh_a,g_rel_tdir)",7scenes,lora_early,probe0,office,theta0,0.982406735420227
m0,"cos(g_couple,g_rel_rot)",7scenes,lora_early,probe0,office,theta0,0.9907488822937012
m0,"cos(g_couple,g_rel_tdir)",7scenes,lora_early,probe0,office,theta0,0.9803453683853149
m0,"cos(g_rel_rot,g_rel_tdir)",7scenes,lora_early,probe0,office,theta0,0.9804694056510925
m0,"cos(g_maskdistill,g_rkd_sh_d)",7scenes,lora_late,probe0,office,theta0,0.9020766019821167
