cond,couple,dataset,frames,input,maskdistill,rel_rot,rel_tdir,rkd_sh_a,rkd_sh_d,scene,state
clean,0.00520976772531867,scannetpp,26+93+120+130+153+242+277+322,probe0,0.15596912801265717,0.14939725399017334,0.08324144780635834,0.040770258754491806,0.019067782908678055,09c1414f1b,theta0
m0,0.004474327899515629,scannetpp,26+93+120+130+153+242+277+322,probe0,0.3653181493282318,1.4174299240112305,0.9120237231254578,0.11401106417179108,0.08578497171401978,09c1414f1b,theta0
m1,0.04206657409667969,scannetpp,26+93+120+130+153+242+277+322,probe0,0.3229416608810425,0.8534196615219116,0.1195702999830246,0.03734303265810013,0.018435034900903702,09c1414f1b,theta0
m2,0.021210944280028343,scannetpp,26+93+120+130+153+242+277+322,probe0,0.3818244934082031,1.6103768348693848,0.8811558485031128,0.04093668609857559,0.04571988433599472,09c1414f1b,theta0
m3,0.039583612233400345,scannetpp,26+93+120+130+153+242+277+322,probe0,0.34561365842819214,1.3374804258346558,0.21514591574668884,0.07349629700183868,0.037225689738988876,09c1414f1b,theta0
clean,0.0013776409905403852,scannetpp,23+59+68+228+239+336+346+367,probe1,0.10192538797855377,3.5861949920654297,0.3501224219799042,0.05303291603922844,0.011878594756126404,09c1414f1b,theta0
m0,0.012922316789627075,scannetpp,23+59+68+228+239+336+346+367,probe1,0.2795169949531555,3.825798511505127,0.669491171836853,0.065935418009758,0.01210229005664587,09c1414f1b,theta0
m1,0.00016190731548704207,scannetpp,23+59+68+228+239+336+346+367,probe1,0.3109380602836609,1.7476723194122314,0.19330327212810516,0.013683776371181011,0.004287170246243477,09c1414f1b,theta0
m2,0.024099458009004593,scannetpp,23+59+68+228+239+336+346+367,probe1,0.3117418885231018,2.4398555755615234,0.2621408998966217,0.004175899084657431,0.004453021567314863,09c1414f1b,theta0
m3,0.002302624750882387,scannetpp,23+59+68+228+239+336+346+367,probe1,0.2999357283115387,2.3954076766967773,0.3157234191894531,0.000752812426071614,0.0038085151463747025,09c1414f1b,theta0
clean,0.005577106960117817,scannetpp,26+93+120+130+153+242+277+322,probe0,0.15665504336357117,0.1501910537481308,0.09092119336128235,0.04291749745607376,0.020144669339060783,09c1414f1b,theta_base
m0,0.006672761868685484,scannetpp,26+93+120+130+153+242+277+322,probe0,0.36334195733070374,1.4637680053710938,0.871736466884613,0.10034972429275513,0.08102095127105713,09c1414f1b,theta_base
m1,0.05230218172073364,scannetpp,26+93+120+130+153+242+277+322,probe0,0.32004600763320923,0.6975128054618835,0.14294153451919556,0.045742180198431015,0.023367775604128838,09c1414f1b,theta_base
m2,0.031412120908498764,scannetpp,26+93+120+130+153+242+277+322,probe0,0.379075288772583,1.601176142692566,0.8977912664413452,0.030425122007727623,0.03795059770345688,09c1414f1b,theta_base
