cond,cosine,dataset,group,probe,scene,state,value
clean,"cos(g_maskdistill,g_rkd_sh_d)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.1403757631778717
clean,"cos(g_maskdistill,g_rkd_sh_a)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.2850200831890106
clean,"cos(g_maskdistill,g_couple)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.463861346244812
clean,"cos(g_maskdistill,g_rel_rot)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.28818458318710327
clean,"cos(g_maskdistill,g_rel_tdir)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.3217046558856964
clean,"cos(g_rkd_sh_d,g_rkd_sh_a)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.9669299125671387
clean,"cos(g_rkd_sh_d,g_couple)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.8908240795135498
clean,"cos(g_rkd_sh_d,g_rel_rot)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.03347194939851761
clean,"cos(g_rkd_sh_d,g_rel_tdir)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.9463291168212891
clean,"cos(g_rkd_sh_a,g_couple)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.9099095463752747
clean,"cos(g_rkd_sh_a,g_rel_rot)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.06148584932088852
clean,"cos(g_rkd_sh_a,g_rel_tdir)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.9973526000976562
clean,"cos(g_couple,g_rel_rot)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.11767128109931946
clean,"cos(g_couple,g_rel_tdir)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.904893159866333
clean,"cos(g_rel_rot,g_rel_tdir)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.07409730553627014
clean,"cos(g_maskdistill,g_rkd_sh_d)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.29773953557014465
clean,"cos(g_maskdistill,g_rkd_sh_a)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.45151740312576294
clean,"cos(g_maskdistill,g_couple)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.6132903695106506
clean,"cos(g_maskdistill,g_rel_rot)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.3946804404258728
clean,"cos(g_maskdistill,g_rel_tdir)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.48425960540771484
clean,"cos(g_rkd_sh_d,g_rkd_sh_a)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.9571171998977661
clean,"cos(g_rkd_sh_d,g_couple)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.8647040128707886
clean,"cos(g_rkd_sh_d,g_rel_rot)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.14541777968406677
clean,"cos(g_rkd_sh_d,g_rel_tdir)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.9324713349342346
clean,"cos(g_rkd_sh_a,g_couple)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.9166666865348816
clean,"cos(g_rkd_sh_a,g_rel_rot)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.18977594375610352
clean,"cos(g_rkd_sh_a,g_rel_tdir)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.996983528137207
clean,"cos(g_couple,g_rel_rot)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.23521170020103455
clean,"cos(g_couple,g_rel_tdir)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.9169363379478455
clean,"cos(g_rel_rot,g_rel_tdir)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.20437850058078766
clean,"cos(g_maskdistill,g_rkd_sh_d)",scannetpp,cam_token,probe0,09c1414f1b,theta0,0.015717744827270508
clean,"cos(g_maskdistill,g_rkd_sh_a)",scannetpp,cam_token,probe0,09c1414f1b,theta0,0.15289391577243805
